date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
2014-08-08 10:50:39,11,3,205,354,25315,1953.0719,6450,0,1,5,2014-08-20,2014-08-24,2,0,1,8250,1,0,4,2,50,628,45
2014-05-05 15:06:40,2,3,66,348,37224,,9089,0,0,0,2014-07-02,2014-07-06,2,0,1,11994,6,0,1,2,50,694,4
2014-09-22 15:47:27,2,3,66,153,50542,2926.4009,15632,0,1,2,2014-10-05,2014-10-12,3,1,1,50192,3,0,2,2,50,212,40
2014-03-30 21:47:47,2,3,66,462,27117,1055.9893,23444,0,1,9,2014-05-20,2014-05-26,2,2,1,8278,1,0,5,2,50,368,94
2014-08-08 07:09:19,2,3,66,314,21500,,30977,0,0,9,2014-08-15,2014-08-17,2,0,1,14803,1,0,2,2,50,558,77
2014-10-21 12:10:47,25,2,23,48,4924,,35370,0,0,5,2014-10-31,2014-11-01,4,0,3,8813,1,0,1,6,107,186,58
2013-01-08 22:09:29,34,3,205,135,36086,1190.5378,41653,0,0,9,2013-01-16,2013-01-24,2,0,1,8254,1,0,1,2,50,365,21
2014-08-03 21:21:59,2,3,66,174,38801,,47886,0,0,3,2014-09-22,2014-09-25,3,0,1,8740,1,0,1,6,105,12,5
2014-07-23 20:35:10,13,1,46,347,38786,5686.4495,52452,0,0,9,2014-08-23,2014-08-28,2,0,1,8254,1,0,2,2,50,365,39
2014-08-20 18:55:54,2,3,66,258,4687,1783.9964,54404,1,0,1,2014-08-28,2014-08-31,2,0,1,11620,1,0,1,2,50,369,92
2014-08-27 06:01:13,2,3,66,462,8833,2421.7128,61269,1,0,2,2014-08-30,2014-09-01,2,0,1,8793,1,0,2,2,50,677,47
2013-03-30 16:08:04,2,3,66,356,22202,260.0551,66621,0,0,0,2013-04-23,2013-04-27,1,0,1,26414,6,1,1,2,198,399,6
2013-05-15 15:50:13,37,1,69,739,23715,,70535,0,0,0,2013-06-03,2013-06-04,2,0,1,8253,1,0,1,6,70,19,98
2013-12-03 12:32:15,37,1,69,887,51998,,71855,0,1,9,2014-08-03,2014-08-08,5,0,3,8267,1,0,6,2,50,675,97
2014-09-05 15:21:10,37,1,69,695,42952,,74328,0,1,0,2015-04-04,2015-04-10,3,0,1,9115,3,0,2,3,1,142,63
2014-08-02 17:33:41,37,1,80,38,52486,,78857,0,0,9,2014-09-04,2014-09-07,2,2,1,23004,6,0,1,6,70,1495,36
2014-04-15 06:16:39,2,3,66,322,12237,,81712,0,1,8,2014-10-19,2014-10-23,2,0,1,20040,1,0,1,5,26,40,92
2013-08-03 04:47:02,2,3,66,220,4948,159.5675,85275,0,0,0,2013-08-03,2013-08-04,2,3,1,13441,4,0,1,2,50,682,18
2014-02-14 11:39:17,2,3,66,363,45549,2087.2582,88429,0,1,9,2014-04-10,2014-04-12,3,0,1,8250,1,0,1,2,50,628,18
2014-07-01 09:02:14,2,3,66,220,33119,5695.1894,91813,0,0,0,2014-07-02,2014-07-04,1,0,1,12583,5,0,1,6,127,141,67
2013-12-14 12:06:04,2,3,66,258,6945,2217.5813,93370,0,1,9,2014-03-29,2014-04-04,2,2,1,12057,1,0,1,4,146,1517,59
